plate_id,crop_path,schizo_likeness_distance,mean_hue,mean_sat,mean_val,std_hue,std_sat,std_val,texture_std
7,cropped_colonies_environmental\plate007__colony020.jpg,0.973,29.7,20.1,181.2,8.4,13.8,19.0,15.8
57,cropped_colonies_environmental\plate057__colony004.jpg,1.038,19.4,21.3,173.9,18.1,12.5,16.8,15.6
42,cropped_colonies_environmental\plate042__colony011.jpg,1.052,38.7,21.9,170.5,14.5,13.9,13.2,11.9
42,cropped_colonies_environmental\plate042__colony012.jpg,1.067,31.9,26.4,171.3,7.5,14.2,14.0,10.7
42,cropped_colonies_environmental\plate042__colony010.jpg,1.091,33.8,26.7,177.3,8.3,14.1,10.2,7.1
52,cropped_colonies_environmental\plate052__colony014.jpg,1.193,31.2,23.9,173.2,3.9,7.1,13.4,12.4
52,cropped_colonies_environmental\plate052__colony004.jpg,1.214,37.3,18.1,173.1,8.4,8.2,17.9,16.4
48,cropped_colonies_environmental\plate048__colony018.jpg,1.23,36.2,14.7,163.7,21.3,13.6,16.0,11.6
56,cropped_colonies_environmental\plate056__colony019.jpg,1.248,32.1,17.1,165.4,9.2,13.9,13.2,11.3
47,cropped_colonies_environmental\plate047__colony033.jpg,1.263,30.1,20.5,163.4,8.4,13.5,15.1,11.4
47,cropped_colonies_environmental\plate047__colony035.jpg,1.263,38.5,18.8,165.9,19.5,7.6,16.9,16.9
7,cropped_colonies_environmental\plate007__colony022.jpg,1.273,36.2,19.4,174.9,7.8,12.1,21.5,19.3
47,cropped_colonies_environmental\plate047__colony023.jpg,1.284,24.3,23.4,166.7,3.4,11.0,15.8,13.9
16,cropped_colonies_environmental\plate016__colony006.jpg,1.294,37.3,12.9,168.6,6.9,10.2,15.3,13.7
13,cropped_colonies_environmental\plate013__colony002.jpg,1.298,24.0,26.2,190.6,1.7,3.6,18.1,17.7
60,cropped_colonies_environmental\plate060__colony003.jpg,1.308,22.5,24.9,188.9,2.3,2.5,13.4,13.0
47,cropped_colonies_environmental\plate047__colony034.jpg,1.311,28.9,20.9,162.4,9.3,13.3,11.8,9.6
17,cropped_colonies_environmental\plate017__colony010.jpg,1.315,27.3,18.0,165.6,4.3,10.6,14.3,12.5
52,cropped_colonies_environmental\plate052__colony009.jpg,1.323,28.6,10.0,173.2,15.5,7.7,20.1,18.6
13,cropped_colonies_environmental\plate013__colony001.jpg,1.329,23.5,26.7,184.4,2.3,4.7,19.5,18.5
56,cropped_colonies_environmental\plate056__colony017.jpg,1.329,28.0,19.5,165.1,9.8,9.5,19.5,17.0
10,cropped_colonies_environmental\plate010__colony010.jpg,1.335,39.5,15.1,164.7,13.8,15.0,18.7,15.1
17,cropped_colonies_environmental\plate017__colony008.jpg,1.338,32.4,16.8,166.6,5.2,17.0,15.6,13.0
55,cropped_colonies_environmental\plate055__colony009.jpg,1.347,24.2,21.8,166.8,4.2,9.1,18.0,15.8
7,cropped_colonies_environmental\plate007__colony009.jpg,1.351,36.2,10.4,166.8,8.2,9.3,14.3,12.8
47,cropped_colonies_environmental\plate047__colony027.jpg,1.367,31.3,21.2,166.0,5.5,6.1,16.0,14.8
47,cropped_colonies_environmental\plate047__colony016.jpg,1.368,25.6,12.6,163.5,8.7,10.5,14.2,11.7
17,cropped_colonies_environmental\plate017__colony003.jpg,1.375,32.4,13.9,180.2,5.5,4.5,9.6,8.8
42,cropped_colonies_environmental\plate042__colony008.jpg,1.379,43.8,23.9,172.4,17.1,19.7,21.4,17.1
56,cropped_colonies_environmental\plate056__colony022.jpg,1.38,43.9,11.4,163.0,23.0,14.0,14.9,13.2
19,cropped_colonies_environmental\plate019__colony022.jpg,1.393,44.0,9.3,174.9,17.8,6.1,18.0,17.4
17,cropped_colonies_environmental\plate017__colony002.jpg,1.405,32.0,14.2,179.7,5.3,4.4,9.2,8.4
36,cropped_colonies_environmental\plate036__colony004.jpg,1.405,32.0,19.2,161.9,10.9,17.9,19.2,14.2
47,cropped_colonies_environmental\plate047__colony030.jpg,1.408,29.3,21.1,160.8,4.5,10.0,12.1,11.4
56,cropped_colonies_environmental\plate056__colony024.jpg,1.409,40.7,13.0,162.1,9.8,12.6,15.2,14.2
46,cropped_colonies_environmental\plate046__colony007.jpg,1.42,25.4,15.6,164.1,5.7,7.6,15.2,12.9
47,cropped_colonies_environmental\plate047__colony029.jpg,1.42,34.7,18.1,163.7,6.7,6.4,16.0,14.7
17,cropped_colonies_environmental\plate017__colony007.jpg,1.421,45.1,16.6,173.6,15.2,19.1,20.9,17.1
7,cropped_colonies_environmental\plate007__colony018.jpg,1.424,35.0,15.0,166.6,5.3,6.3,15.9,15.0
30,cropped_colonies_environmental\plate030__colony006.jpg,1.434,44.1,10.1,171.8,28.8,10.2,21.3,19.1
7,cropped_colonies_environmental\plate007__colony021.jpg,1.437,39.8,13.7,170.6,5.3,5.3,14.4,14.0
47,cropped_colonies_environmental\plate047__colony032.jpg,1.44,29.3,22.3,164.7,3.6,5.6,12.6,11.9
56,cropped_colonies_environmental\plate056__colony008.jpg,1.443,33.5,15.4,160.2,5.8,15.1,15.7,13.2
52,cropped_colonies_environmental\plate052__colony007.jpg,1.451,42.9,14.3,168.3,12.4,8.6,20.5,18.3
57,cropped_colonies_environmental\plate057__colony007.jpg,1.455,43.8,9.5,170.8,19.9,4.3,12.8,12.7
56,cropped_colonies_environmental\plate056__colony014.jpg,1.456,36.0,15.0,171.2,6.6,4.0,11.1,10.4
60,cropped_colonies_environmental\plate060__colony004.jpg,1.46,29.3,22.3,172.5,4.5,4.1,19.4,18.9
52,cropped_colonies_environmental\plate052__colony010.jpg,1.463,27.9,15.3,172.0,3.2,4.7,17.7,16.9
56,cropped_colonies_environmental\plate056__colony020.jpg,1.484,32.3,16.2,164.5,6.6,6.4,18.8,17.4
41,cropped_colonies_environmental\plate041__colony005.jpg,1.486,37.1,16.7,170.5,4.5,4.2,10.6,10.5
57,cropped_colonies_environmental\plate057__colony003.jpg,1.488,28.2,22.4,156.5,4.3,13.2,17.2,15.1
31,cropped_colonies_environmental\plate031__colony004.jpg,1.489,27.4,19.3,170.2,4.5,3.8,18.2,17.4
36,cropped_colonies_environmental\plate036__colony009.jpg,1.489,36.9,14.7,159.4,7.5,8.5,16.1,14.4
52,cropped_colonies_environmental\plate052__colony015.jpg,1.5,37.1,10.2,167.0,6.9,6.0,12.0,10.2
13,cropped_colonies_environmental\plate013__colony006.jpg,1.502,35.2,5.9,181.8,19.7,4.1,21.3,21.0
59,cropped_colonies_environmental\plate059__colony002.jpg,1.503,34.5,8.4,169.9,21.8,5.9,21.4,19.8
19,cropped_colonies_environmental\plate019__colony014.jpg,1.504,42.4,7.4,170.7,12.9,4.4,15.3,14.7
57,cropped_colonies_environmental\plate057__colony005.jpg,1.505,33.8,21.9,159.0,6.8,16.0,19.7,17.6
42,cropped_colonies_environmental\plate042__colony002.jpg,1.507,43.2,17.7,163.0,15.5,17.7,20.9,16.5
60,cropped_colonies_environmental\plate060__colony006.jpg,1.507,28.8,22.7,175.5,3.5,4.2,20.9,20.4
46,cropped_colonies_environmental\plate046__colony008.jpg,1.508,29.6,21.7,162.6,3.3,5.0,13.6,12.7
52,cropped_colonies_environmental\plate052__colony016.jpg,1.508,32.9,14.3,169.6,3.5,4.3,11.3,10.5
41,cropped_colonies_environmental\plate041__colony004.jpg,1.512,32.3,15.1,163.3,4.4,5.4,14.0,12.9
46,cropped_colonies_environmental\plate046__colony003.jpg,1.512,25.3,15.3,158.8,9.8,8.5,18.3,16.9
31,cropped_colonies_environmental\plate031__colony003.jpg,1.516,26.6,19.9,170.0,4.2,3.3,18.1,17.2
24,cropped_colonies_environmental\plate024__colony009.jpg,1.52,31.0,20.8,158.1,5.0,9.5,18.6,17.2
36,cropped_colonies_environmental\plate036__colony013.jpg,1.524,47.2,12.4,169.9,10.6,5.0,14.7,14.2
52,cropped_colonies_environmental\plate052__colony012.jpg,1.526,31.7,12.3,167.4,4.4,4.3,12.5,12.0
34,cropped_colonies_environmental\plate034__colony001.jpg,1.527,33.1,15.5,157.2,21.0,6.0,17.6,17.6
47,cropped_colonies_environmental\plate047__colony002.jpg,1.532,38.1,10.6,159.4,9.4,8.0,13.5,12.3
47,cropped_colonies_environmental\plate047__colony039.jpg,1.532,48.6,18.7,172.9,34.9,22.0,15.6,15.4
59,cropped_colonies_environmental\plate059__colony006.jpg,1.533,29.3,16.7,170.1,15.8,9.7,24.9,22.4
42,cropped_colonies_environmental\plate042__colony009.jpg,1.539,50.6,13.4,175.2,11.7,4.1,14.6,14.3
48,cropped_colonies_environmental\plate048__colony006.jpg,1.539,23.1,19.9,158.3,7.7,15.2,20.4,16.1
55,cropped_colonies_environmental\plate055__colony011.jpg,1.539,36.0,14.9,156.8,7.6,9.6,12.6,10.1
17,cropped_colonies_environmental\plate017__colony005.jpg,1.545,30.0,13.7,186.4,3.2,3.4,6.9,6.3
47,cropped_colonies_environmental\plate047__colony028.jpg,1.546,26.4,21.5,167.0,2.7,3.7,11.0,10.1
48,cropped_colonies_environmental\plate048__colony017.jpg,1.549,32.2,11.5,160.0,13.6,6.5,18.9,17.5
16,cropped_colonies_environmental\plate016__colony009.jpg,1.555,46.0,9.6,170.2,12.7,3.9,14.1,14.0
60,cropped_colonies_environmental\plate060__colony008.jpg,1.555,30.1,18.2,176.7,3.0,2.8,19.9,19.6
47,cropped_colonies_environmental\plate047__colony021.jpg,1.556,23.6,16.9,154.1,13.6,16.5,18.1,13.0
47,cropped_colonies_environmental\plate047__colony025.jpg,1.556,27.5,14.9,156.5,8.2,12.0,19.8,16.5
47,cropped_colonies_environmental\plate047__colony004.jpg,1.557,43.8,13.7,155.4,16.7,10.9,16.4,15.4
7,cropped_colonies_environmental\plate007__colony019.jpg,1.558,33.3,14.5,164.4,2.6,4.7,13.9,13.3
29,cropped_colonies_environmental\plate029__colony003.jpg,1.562,30.0,15.2,163.3,5.1,4.0,13.1,12.5
36,cropped_colonies_environmental\plate036__colony010.jpg,1.568,42.0,13.5,160.5,9.8,6.4,16.3,15.3
13,cropped_colonies_environmental\plate013__colony005.jpg,1.569,35.2,17.0,168.8,3.2,2.4,12.5,12.5
36,cropped_colonies_environmental\plate036__colony002.jpg,1.57,40.1,11.8,160.2,12.5,5.3,13.5,12.9
