plate_id,crop_path,source_image,x,y,w,h,area,circularity,solidity
1,cropped_colonies_environmental\plate001__colony001.jpg,environmental\env_002_143217.jpg,1896,2671,30,22,365.5,0.63,0.941
1,cropped_colonies_environmental\plate001__colony002.jpg,environmental\env_002_143217.jpg,1757,2603,41,37,1143.0,0.885,0.979
1,cropped_colonies_environmental\plate001__colony003.jpg,environmental\env_002_143217.jpg,2309,2075,25,24,357.0,0.582,0.828
1,cropped_colonies_environmental\plate001__colony004.jpg,environmental\env_002_143217.jpg,822,2067,39,38,1089.0,0.794,0.952
1,cropped_colonies_environmental\plate001__colony005.jpg,environmental\env_002_143217.jpg,2101,1993,40,40,1205.0,0.877,0.98
1,cropped_colonies_environmental\plate001__colony006.jpg,environmental\env_002_143217.jpg,2212,1858,82,71,4379.0,0.877,0.988
1,cropped_colonies_environmental\plate001__colony007.jpg,environmental\env_002_143217.jpg,2213,1744,75,77,4369.0,0.799,0.969
1,cropped_colonies_environmental\plate001__colony008.jpg,environmental\env_002_143217.jpg,2246,1673,41,40,1213.0,0.813,0.96
1,cropped_colonies_environmental\plate001__colony009.jpg,environmental\env_002_143217.jpg,793,1549,62,86,3040.5,0.605,0.969
1,cropped_colonies_environmental\plate001__colony010.jpg,environmental\env_002_143217.jpg,1259,1356,74,70,3961.5,0.782,0.963
2,cropped_colonies_environmental\plate002__colony001.jpg,environmental\env_004_143230.jpg,1762,2158,118,118,10614.5,0.816,0.973
2,cropped_colonies_environmental\plate002__colony002.jpg,environmental\env_004_143230.jpg,1651,2054,74,72,3812.0,0.778,0.961
2,cropped_colonies_environmental\plate002__colony003.jpg,environmental\env_004_143230.jpg,1979,1886,169,172,22590.5,0.875,0.991
2,cropped_colonies_environmental\plate002__colony004.jpg,environmental\env_004_143230.jpg,1827,1867,23,25,370.5,0.636,0.88
2,cropped_colonies_environmental\plate002__colony005.jpg,environmental\env_004_143230.jpg,1920,1425,108,116,9308.5,0.736,0.951
3,cropped_colonies_environmental\plate003__colony001.jpg,environmental\env_006_143240.jpg,1825,1799,19,18,257.0,0.914,0.987
3,cropped_colonies_environmental\plate003__colony002.jpg,environmental\env_006_143240.jpg,1670,1340,154,156,18637.0,0.862,0.986
3,cropped_colonies_environmental\plate003__colony003.jpg,environmental\env_006_143240.jpg,1951,1334,25,27,306.5,0.463,0.806
4,cropped_colonies_environmental\plate004__colony001.jpg,environmental\env_008_143255.jpg,1163,2611,72,93,4631.0,0.66,0.933
4,cropped_colonies_environmental\plate004__colony002.jpg,environmental\env_008_143255.jpg,872,2444,79,76,4212.5,0.799,0.972
4,cropped_colonies_environmental\plate004__colony003.jpg,environmental\env_008_143255.jpg,1031,2420,42,40,1285.0,0.866,0.973
4,cropped_colonies_environmental\plate004__colony004.jpg,environmental\env_008_143255.jpg,1769,2270,49,50,1847.0,0.809,0.968
4,cropped_colonies_environmental\plate004__colony005.jpg,environmental\env_008_143255.jpg,1388,2206,43,44,1434.0,0.813,0.965
4,cropped_colonies_environmental\plate004__colony006.jpg,environmental\env_008_143255.jpg,1312,2164,41,40,1215.0,0.858,0.975
4,cropped_colonies_environmental\plate004__colony007.jpg,environmental\env_008_143255.jpg,1994,2068,48,47,1696.5,0.862,0.974
4,cropped_colonies_environmental\plate004__colony008.jpg,environmental\env_008_143255.jpg,1965,1993,47,46,1216.5,0.503,0.815
4,cropped_colonies_environmental\plate004__colony009.jpg,environmental\env_008_143255.jpg,1376,1732,20,18,239.5,0.726,0.912
4,cropped_colonies_environmental\plate004__colony010.jpg,environmental\env_008_143255.jpg,1993,1705,58,57,2489.0,0.859,0.974
4,cropped_colonies_environmental\plate004__colony011.jpg,environmental\env_008_143255.jpg,870,1491,60,66,2744.0,0.741,0.936
5,cropped_colonies_environmental\plate005__colony001.jpg,environmental\env_010_143305.jpg,1241,2545,33,32,781.5,0.863,0.97
5,cropped_colonies_environmental\plate005__colony002.jpg,environmental\env_010_143305.jpg,1058,2519,28,21,313.0,0.615,0.939
5,cropped_colonies_environmental\plate005__colony003.jpg,environmental\env_010_143305.jpg,1547,2453,78,81,4791.5,0.826,0.974
5,cropped_colonies_environmental\plate005__colony004.jpg,environmental\env_010_143305.jpg,972,2452,33,31,471.0,0.559,0.952
5,cropped_colonies_environmental\plate005__colony005.jpg,environmental\env_010_143305.jpg,1678,2435,42,43,1079.0,0.559,0.86
5,cropped_colonies_environmental\plate005__colony006.jpg,environmental\env_010_143305.jpg,1888,2411,33,32,515.5,0.43,0.796
5,cropped_colonies_environmental\plate005__colony007.jpg,environmental\env_010_143305.jpg,1765,2347,90,82,5252.0,0.768,0.962
5,cropped_colonies_environmental\plate005__colony008.jpg,environmental\env_010_143305.jpg,1551,2339,74,75,4284.0,0.857,0.98
5,cropped_colonies_environmental\plate005__colony009.jpg,environmental\env_010_143305.jpg,828,2251,49,67,1905.0,0.621,0.951
5,cropped_colonies_environmental\plate005__colony010.jpg,environmental\env_010_143305.jpg,1582,2159,61,60,2786.5,0.805,0.969
5,cropped_colonies_environmental\plate005__colony011.jpg,environmental\env_010_143305.jpg,782,2129,55,81,2824.5,0.665,0.969
5,cropped_colonies_environmental\plate005__colony012.jpg,environmental\env_010_143305.jpg,1451,2095,39,40,1191.0,0.862,0.973
5,cropped_colonies_environmental\plate005__colony013.jpg,environmental\env_010_143305.jpg,1394,2043,33,32,806.0,0.88,0.979
5,cropped_colonies_environmental\plate005__colony014.jpg,environmental\env_010_143305.jpg,1264,1970,60,59,2709.0,0.882,0.982
5,cropped_colonies_environmental\plate005__colony015.jpg,environmental\env_010_143305.jpg,2015,1951,53,45,1547.0,0.675,0.914
5,cropped_colonies_environmental\plate005__colony016.jpg,environmental\env_010_143305.jpg,1142,1927,75,75,4277.0,0.858,0.978
5,cropped_colonies_environmental\plate005__colony017.jpg,environmental\env_010_143305.jpg,907,1866,93,92,6655.0,0.885,0.987
5,cropped_colonies_environmental\plate005__colony018.jpg,environmental\env_010_143305.jpg,1400,1825,70,70,3795.5,0.868,0.982
5,cropped_colonies_environmental\plate005__colony019.jpg,environmental\env_010_143305.jpg,1151,1647,102,106,7502.5,0.635,0.927
5,cropped_colonies_environmental\plate005__colony020.jpg,environmental\env_010_143305.jpg,1542,1586,60,89,3751.0,0.625,0.907
5,cropped_colonies_environmental\plate005__colony021.jpg,environmental\env_010_143305.jpg,1327,1583,74,77,4334.5,0.814,0.969
5,cropped_colonies_environmental\plate005__colony022.jpg,environmental\env_010_143305.jpg,902,1522,106,113,8576.0,0.766,0.959
5,cropped_colonies_environmental\plate005__colony023.jpg,environmental\env_010_143305.jpg,1677,1445,42,45,1431.5,0.805,0.967
5,cropped_colonies_environmental\plate005__colony024.jpg,environmental\env_010_143305.jpg,1448,1346,63,62,2882.5,0.801,0.962
6,cropped_colonies_environmental\plate006__colony001.jpg,environmental\env_012_143315.jpg,1461,2367,47,53,1815.0,0.798,0.962
6,cropped_colonies_environmental\plate006__colony002.jpg,environmental\env_012_143315.jpg,1039,2260,112,110,9454.5,0.878,0.988
6,cropped_colonies_environmental\plate006__colony003.jpg,environmental\env_012_143315.jpg,1276,2206,57,55,2386.0,0.798,0.962
6,cropped_colonies_environmental\plate006__colony004.jpg,environmental\env_012_143315.jpg,1867,2152,22,21,343.0,0.902,0.979
6,cropped_colonies_environmental\plate006__colony005.jpg,environmental\env_012_143315.jpg,891,1936,29,28,611.5,0.825,0.96
6,cropped_colonies_environmental\plate006__colony006.jpg,environmental\env_012_143315.jpg,1368,1879,107,101,8184.5,0.866,0.983
6,cropped_colonies_environmental\plate006__colony007.jpg,environmental\env_012_143315.jpg,1817,1831,117,112,9459.5,0.787,0.973
6,cropped_colonies_environmental\plate006__colony008.jpg,environmental\env_012_143315.jpg,995,1789,96,107,5793.5,0.576,0.882
6,cropped_colonies_environmental\plate006__colony009.jpg,environmental\env_012_143315.jpg,1005,1688,64,69,3206.5,0.787,0.962
6,cropped_colonies_environmental\plate006__colony010.jpg,environmental\env_012_143315.jpg,1112,1659,23,22,381.5,0.855,0.967
7,cropped_colonies_environmental\plate007__colony001.jpg,environmental\env_014_143622.jpg,1128,2766,44,36,1144.0,0.804,0.97
7,cropped_colonies_environmental\plate007__colony002.jpg,environmental\env_014_143622.jpg,1305,2678,60,58,2563.5,0.826,0.965
7,cropped_colonies_environmental\plate007__colony003.jpg,environmental\env_014_143622.jpg,1486,2554,46,46,1614.5,0.873,0.981
7,cropped_colonies_environmental\plate007__colony004.jpg,environmental\env_014_143622.jpg,1280,2507,39,47,1275.0,0.792,0.949
7,cropped_colonies_environmental\plate007__colony005.jpg,environmental\env_014_143622.jpg,1195,2469,36,36,975.0,0.902,0.984
7,cropped_colonies_environmental\plate007__colony006.jpg,environmental\env_014_143622.jpg,1248,2362,24,23,427.5,0.89,0.983
7,cropped_colonies_environmental\plate007__colony007.jpg,environmental\env_014_143622.jpg,1014,2300,150,160,15066.0,0.575,0.904
7,cropped_colonies_environmental\plate007__colony008.jpg,environmental\env_014_143622.jpg,1301,2252,141,140,14653.5,0.839,0.982
7,cropped_colonies_environmental\plate007__colony009.jpg,environmental\env_014_143622.jpg,2153,2182,29,30,637.5,0.793,0.95
7,cropped_colonies_environmental\plate007__colony010.jpg,environmental\env_014_143622.jpg,1150,2018,43,43,1402.0,0.885,0.979
7,cropped_colonies_environmental\plate007__colony011.jpg,environmental\env_014_143622.jpg,1876,1953,22,24,393.5,0.743,0.93
7,cropped_colonies_environmental\plate007__colony012.jpg,environmental\env_014_143622.jpg,1950,1920,87,79,4229.5,0.556,0.845
7,cropped_colonies_environmental\plate007__colony013.jpg,environmental\env_014_143622.jpg,1740,1848,93,92,6631.5,0.854,0.983
7,cropped_colonies_environmental\plate007__colony014.jpg,environmental\env_014_143622.jpg,1206,1848,44,42,1368.0,0.836,0.968
7,cropped_colonies_environmental\plate007__colony015.jpg,environmental\env_014_143622.jpg,1940,1814,41,42,1344.0,0.865,0.974
7,cropped_colonies_environmental\plate007__colony016.jpg,environmental\env_014_143622.jpg,961,1774,55,50,1979.0,0.807,0.966
7,cropped_colonies_environmental\plate007__colony017.jpg,environmental\env_014_143622.jpg,1102,1768,28,31,607.5,0.792,0.943
7,cropped_colonies_environmental\plate007__colony018.jpg,environmental\env_014_143622.jpg,1736,1744,41,40,1236.5,0.851,0.97
7,cropped_colonies_environmental\plate007__colony019.jpg,environmental\env_014_143622.jpg,1654,1713,32,35,829.0,0.76,0.94
7,cropped_colonies_environmental\plate007__colony020.jpg,environmental\env_014_143622.jpg,2145,1615,31,51,974.5,0.599,0.924
7,cropped_colonies_environmental\plate007__colony021.jpg,environmental\env_014_143622.jpg,1644,1474,42,42,1196.0,0.712,0.924
