crop_path,source_image,x,y,w,h,area,circularity,solidity
cropped_colonies_gfp7\main_01__colony001.jpg,new_batch_202609\main\main_01.jpg,1812,3038,28,20,460.5,0.729,0.96
cropped_colonies_gfp7\main_01__colony002.jpg,new_batch_202609\main\main_01.jpg,658,2656,30,32,535.5,0.58,0.907
cropped_colonies_gfp7\main_01__colony003.jpg,new_batch_202609\main\main_01.jpg,1126,1978,26,28,405.5,0.53,0.787
cropped_colonies_gfp7\main_01__colony004.jpg,new_batch_202609\main\main_01.jpg,2160,1638,48,58,1717.5,0.577,0.892
cropped_colonies_gfp7\main_01__colony005.jpg,new_batch_202609\main\main_01.jpg,1084,1439,20,21,307.5,0.708,0.911
cropped_colonies_gfp7\main_05__colony001.jpg,new_batch_202609\main\main_05.jpg,1456,3088,46,40,873.0,0.489,0.829
cropped_colonies_gfp7\main_05__colony002.jpg,new_batch_202609\main\main_05.jpg,1666,3063,29,31,602.0,0.733,0.93
cropped_colonies_gfp7\main_05__colony003.jpg,new_batch_202609\main\main_05.jpg,1141,2961,26,24,460.5,0.9,0.984
cropped_colonies_gfp7\main_05__colony004.jpg,new_batch_202609\main\main_05.jpg,1022,2876,24,20,388.5,0.788,0.959
cropped_colonies_gfp7\main_05__colony005.jpg,new_batch_202609\main\main_05.jpg,2216,2840,35,33,548.5,0.566,0.927
cropped_colonies_gfp7\main_05__colony006.jpg,new_batch_202609\main\main_05.jpg,1062,2809,18,18,238.5,0.89,0.973
cropped_colonies_gfp7\main_05__colony007.jpg,new_batch_202609\main\main_05.jpg,1506,2803,30,32,686.5,0.851,0.966
cropped_colonies_gfp7\main_05__colony008.jpg,new_batch_202609\main\main_05.jpg,1123,2729,32,45,916.5,0.716,0.93
cropped_colonies_gfp7\main_05__colony009.jpg,new_batch_202609\main\main_05.jpg,2289,2720,55,76,2264.5,0.563,0.869
cropped_colonies_gfp7\main_05__colony010.jpg,new_batch_202609\main\main_05.jpg,886,2716,93,84,5708.5,0.726,0.948
cropped_colonies_gfp7\main_05__colony011.jpg,new_batch_202609\main\main_05.jpg,1442,2701,18,19,255.5,0.825,0.953
cropped_colonies_gfp7\main_05__colony012.jpg,new_batch_202609\main\main_05.jpg,2201,2700,38,37,1054.0,0.865,0.974
cropped_colonies_gfp7\main_05__colony013.jpg,new_batch_202609\main\main_05.jpg,2073,2689,56,59,2585.0,0.756,0.954
cropped_colonies_gfp7\main_05__colony014.jpg,new_batch_202609\main\main_05.jpg,881,2592,39,34,893.5,0.791,0.959
cropped_colonies_gfp7\main_05__colony015.jpg,new_batch_202609\main\main_05.jpg,2187,2541,29,27,579.5,0.815,0.951
cropped_colonies_gfp7\main_05__colony016.jpg,new_batch_202609\main\main_05.jpg,1384,2507,40,49,1226.0,0.516,0.848
cropped_colonies_gfp7\main_05__colony017.jpg,new_batch_202609\main\main_05.jpg,901,2489,36,36,981.5,0.881,0.979
cropped_colonies_gfp7\main_05__colony018.jpg,new_batch_202609\main\main_05.jpg,2053,2459,59,66,2667.5,0.532,0.871
cropped_colonies_gfp7\main_05__colony019.jpg,new_batch_202609\main\main_05.jpg,711,2447,32,31,738.0,0.85,0.969
cropped_colonies_gfp7\main_05__colony020.jpg,new_batch_202609\main\main_05.jpg,1318,2339,31,39,743.5,0.686,0.905
cropped_colonies_gfp7\main_05__colony021.jpg,new_batch_202609\main\main_05.jpg,488,2299,27,26,538.5,0.863,0.974
cropped_colonies_gfp7\main_05__colony022.jpg,new_batch_202609\main\main_05.jpg,980,2287,34,33,850.5,0.873,0.978
cropped_colonies_gfp7\main_05__colony023.jpg,new_batch_202609\main\main_05.jpg,1568,2238,19,18,243.0,0.8,0.946
cropped_colonies_gfp7\main_05__colony024.jpg,new_batch_202609\main\main_05.jpg,1495,2208,39,48,1355.5,0.762,0.956
cropped_colonies_gfp7\main_05__colony025.jpg,new_batch_202609\main\main_05.jpg,1360,2163,52,51,2001.0,0.726,0.94
cropped_colonies_gfp7\main_05__colony026.jpg,new_batch_202609\main\main_05.jpg,514,2153,18,19,249.5,0.87,0.969
cropped_colonies_gfp7\main_05__colony027.jpg,new_batch_202609\main\main_05.jpg,758,2123,26,27,504.5,0.854,0.97
cropped_colonies_gfp7\main_05__colony028.jpg,new_batch_202609\main\main_05.jpg,985,2044,23,35,557.0,0.735,0.946
cropped_colonies_gfp7\main_05__colony029.jpg,new_batch_202609\main\main_05.jpg,645,1983,27,30,618.0,0.865,0.972
cropped_colonies_gfp7\main_05__colony030.jpg,new_batch_202609\main\main_05.jpg,2082,1853,50,50,1866.0,0.787,0.959
cropped_colonies_gfp7\main_05__colony031.jpg,new_batch_202609\main\main_05.jpg,2272,1852,55,56,2372.5,0.802,0.962
cropped_colonies_gfp7\main_05__colony032.jpg,new_batch_202609\main\main_05.jpg,1877,1824,36,29,686.0,0.722,0.931
cropped_colonies_gfp7\main_05__colony033.jpg,new_batch_202609\main\main_05.jpg,1732,1776,28,23,420.0,0.816,0.952
cropped_colonies_gfp7\main_05__colony034.jpg,new_batch_202609\main\main_05.jpg,1450,1722,32,38,968.5,0.752,0.943
cropped_colonies_gfp7\main_05__colony035.jpg,new_batch_202609\main\main_05.jpg,1865,1716,18,18,229.0,0.872,0.97
cropped_colonies_gfp7\main_05__colony036.jpg,new_batch_202609\main\main_05.jpg,2438,1700,39,43,1221.0,0.837,0.966
cropped_colonies_gfp7\main_05__colony037.jpg,new_batch_202609\main\main_05.jpg,514,1698,20,22,338.5,0.867,0.977
cropped_colonies_gfp7\main_05__colony038.jpg,new_batch_202609\main\main_05.jpg,581,1688,34,32,778.5,0.847,0.962
cropped_colonies_gfp7\main_05__colony039.jpg,new_batch_202609\main\main_05.jpg,2511,1623,30,30,717.5,0.878,0.978
cropped_colonies_gfp7\main_05__colony040.jpg,new_batch_202609\main\main_05.jpg,673,1620,35,34,831.0,0.836,0.963
cropped_colonies_gfp7\main_05__colony041.jpg,new_batch_202609\main\main_05.jpg,1007,1616,42,42,1362.0,0.773,0.948
cropped_colonies_gfp7\main_05__colony042.jpg,new_batch_202609\main\main_05.jpg,1636,1599,20,19,280.5,0.859,0.966
cropped_colonies_gfp7\main_05__colony043.jpg,new_batch_202609\main\main_05.jpg,801,1564,53,52,1958.0,0.673,0.905
cropped_colonies_gfp7\main_05__colony044.jpg,new_batch_202609\main\main_05.jpg,821,1482,61,54,1922.0,0.514,0.87
cropped_colonies_gfp7\main_05__colony045.jpg,new_batch_202609\main\main_05.jpg,1558,1470,23,25,410.5,0.862,0.968
cropped_colonies_gfp7\main_05__colony046.jpg,new_batch_202609\main\main_05.jpg,1837,1440,37,33,947.0,0.883,0.98
cropped_colonies_gfp7\main_05__colony047.jpg,new_batch_202609\main\main_05.jpg,1174,1276,22,22,306.5,0.621,0.872
cropped_colonies_gfp7\main_05__colony048.jpg,new_batch_202609\main\main_05.jpg,640,1254,22,26,337.5,0.535,0.786
cropped_colonies_gfp7\main_05__colony049.jpg,new_batch_202609\main\main_05.jpg,742,1251,46,45,1174.5,0.525,0.803
cropped_colonies_gfp7\main_05__colony050.jpg,new_batch_202609\main\main_05.jpg,1270,1180,26,26,408.5,0.617,0.841
cropped_colonies_gfp7\main_05__colony051.jpg,new_batch_202609\main\main_05.jpg,828,1168,20,20,296.5,0.676,0.905
cropped_colonies_gfp7\main_05__colony052.jpg,new_batch_202609\main\main_05.jpg,1868,1136,51,56,1883.5,0.62,0.878
cropped_colonies_gfp7\main_05__colony053.jpg,new_batch_202609\main\main_05.jpg,1982,1098,32,32,773.5,0.887,0.979
cropped_colonies_gfp7\main_05__colony054.jpg,new_batch_202609\main\main_05.jpg,834,1089,29,26,544.5,0.864,0.969
cropped_colonies_gfp7\main_05__colony055.jpg,new_batch_202609\main\main_05.jpg,1196,937,41,31,731.5,0.609,0.869
cropped_colonies_gfp7\main_06__colony001.jpg,new_batch_202609\main\main_06.jpg,1552,3121,22,23,343.5,0.747,0.94
cropped_colonies_gfp7\main_06__colony002.jpg,new_batch_202609\main\main_06.jpg,1060,2977,42,25,722.0,0.656,0.904
cropped_colonies_gfp7\main_06__colony003.jpg,new_batch_202609\main\main_06.jpg,1432,2972,42,40,1268.0,0.681,0.901
cropped_colonies_gfp7\main_06__colony004.jpg,new_batch_202609\main\main_06.jpg,1522,2966,36,30,605.0,0.562,0.832
cropped_colonies_gfp7\main_06__colony005.jpg,new_batch_202609\main\main_06.jpg,1342,2939,46,53,1643.5,0.668,0.912
cropped_colonies_gfp7\main_06__colony006.jpg,new_batch_202609\main\main_06.jpg,1306,2864,24,28,390.5,0.547,0.798
cropped_colonies_gfp7\main_06__colony007.jpg,new_batch_202609\main\main_06.jpg,917,2859,26,33,592.5,0.852,0.969
cropped_colonies_gfp7\main_06__colony008.jpg,new_batch_202609\main\main_06.jpg,1489,2816,48,40,1490.0,0.718,0.946
cropped_colonies_gfp7\main_06__colony009.jpg,new_batch_202609\main\main_06.jpg,844,2805,28,27,584.0,0.868,0.975
cropped_colonies_gfp7\main_06__colony010.jpg,new_batch_202609\main\main_06.jpg,1120,2704,31,31,736.0,0.882,0.974
cropped_colonies_gfp7\main_06__colony011.jpg,new_batch_202609\main\main_06.jpg,1190,2691,22,22,354.5,0.867,0.971
cropped_colonies_gfp7\main_06__colony012.jpg,new_batch_202609\main\main_06.jpg,2048,2688,21,20,281.0,0.75,0.932
cropped_colonies_gfp7\main_06__colony013.jpg,new_batch_202609\main\main_06.jpg,1327,2575,51,61,2211.5,0.682,0.932
cropped_colonies_gfp7\main_06__colony014.jpg,new_batch_202609\main\main_06.jpg,1190,2536,24,27,498.0,0.864,0.973
cropped_colonies_gfp7\main_06__colony015.jpg,new_batch_202609\main\main_06.jpg,1732,2491,23,18,299.0,0.798,0.952
cropped_colonies_gfp7\main_06__colony016.jpg,new_batch_202609\main\main_06.jpg,1636,2400,31,29,672.5,0.862,0.968
cropped_colonies_gfp7\main_06__colony017.jpg,new_batch_202609\main\main_06.jpg,482,2364,32,30,609.5,0.619,0.853
cropped_colonies_gfp7\main_06__colony018.jpg,new_batch_202609\main\main_06.jpg,1326,2362,65,60,2427.0,0.558,0.87
cropped_colonies_gfp7\main_06__colony019.jpg,new_batch_202609\main\main_06.jpg,1561,2333,19,31,347.5,0.66,0.899
