gene	class	lfc20	lfc44	lfc68	description
g4043	early_responder	4.703	4.424	4.805	DnaJ homolog subfamily B member 5
g4042	early_responder	4.695	4.323	4.817	Chaperone protein ClpB1
g8328	roughly_flat	-3.610	-2.987	-3.798	Zinc metalloproteinase nas-15
g12035	roughly_flat	-2.525	-2.958	-2.753	Neural-cadherin
g6378	roughly_flat	3.339	3.448	3.591	Ferric reduction oxidase 7, chloroplastic
g8131	early_responder	-2.718	-2.710	-2.320	Trypsin I-P1
g342	late_responder	5.062	5.388	7.856	NA
g8955	roughly_flat	1.925	1.971	2.139	NA
g6018	roughly_flat	-2.298	-2.574	-2.651	Matrilin-3
g6003	roughly_flat	-3.509	-2.923	-3.727	AAA-ATPase At4g25835
g4485	roughly_flat	-2.354	-3.372	-3.152	Sodium-dependent phosphate transport protein 2B
g522	roughly_flat	2.281	2.309	2.425	Apoptosis-inducing factor homolog A
g6004	early_responder	-2.896	-2.566	-3.059	Putative AAA family ATPase L572
g15559	late_responder	2.306	3.371	3.620	NA
g2569	late_responder	2.338	3.544	3.896	NA
g1305	roughly_flat	-1.819	-1.856	-2.089	Actin
g13536	roughly_flat	2.296	3.981	3.620	Cyclin-dependent kinase F-3
g12119	roughly_flat	-2.199	-2.737	-2.600	Serine/threonine-protein phosphatase 2B catalytic subunit
g912	roughly_flat	-2.129	-1.967	-2.704	NA
g13866	roughly_flat	2.668	4.572	3.634	Ultraviolet-B receptor UVR8
g6725	roughly_flat	-1.951	-3.449	-3.026	NA
g9086	roughly_flat	2.465	2.617	3.189	Transcriptional activator Myb
g8049	late_responder	-1.896	-2.968	-3.176	Protein mono-ADP-ribosyltransferase PARP3
g11028	roughly_flat	2.259	4.961	4.530	NA
g1855	roughly_flat	-2.587	-5.449	-4.385	NA
g1416	late_responder	2.917	3.976	4.680	NA
g8732	late_responder	1.919	3.322	3.521	Capreomycidine synthase
g13759	roughly_flat	-1.707	-2.001	-2.387	Severin
g7882	roughly_flat	-2.084	-2.182	-2.423	Sodium/potassium/calcium exchanger 5
g4607	transient_peak_44h	2.274	4.623	3.186	NA
g14307	roughly_flat	-1.848	-3.150	-2.983	NA
g15357	roughly_flat	1.453	1.467	1.690	Polyketide synthase Pks13
g15324	roughly_flat	1.550	1.664	2.168	High affinity iron permease ftrA
g3582	late_responder	1.696	2.389	2.711	NA
g5286	roughly_flat	-2.632	-2.759	-3.939	NA
g12261	roughly_flat	-1.804	-1.886	-2.146	MOB kinase activator-like 1A
g7860	late_responder	-2.048	-2.531	-3.232	Sodium/potassium/calcium exchanger 1
g4487	roughly_flat	-2.409	-3.668	-2.836	Sodium-dependent phosphate transport protein 2B
g7969	roughly_flat	-1.611	-1.523	-1.971	NA
g4649	early_responder	-3.123	-2.667	-3.048	NA
g3578	roughly_flat	1.952	2.927	2.453	NA
g13513	late_responder	-1.928	-2.663	-3.696	NA
g11796	late_responder	1.899	3.529	3.661	Stromal membrane-associated protein 2
g11443	roughly_flat	-1.764	-1.906	-2.010	MOB kinase activator-like 1A
g4758	roughly_flat	-3.085	-1.798	-2.577	Gamma-aminobutyric acid type B receptor subunit 2
g8059	late_responder	-1.534	-2.377	-2.840	NA
g11596	late_responder	-1.506	-2.518	-2.890	NA
g12075	roughly_flat	-1.706	-1.947	-1.910	NA
g12367	late_responder	-1.507	-2.836	-3.376	NA
g7516	roughly_flat	1.384	1.503	1.416	LAS seventeen-binding protein 3
g9082	transient_peak_44h	1.608	2.973	2.100	Histidinol dehydrogenase
g1856	transient_peak_44h	-2.301	-3.614	-2.028	NA
g7826	roughly_flat	-1.476	-1.710	-1.480	Nascent polypeptide-associated complex subunit alpha-like protein
g14188	roughly_flat	1.636	1.889	1.984	NA
g12071	roughly_flat	-1.346	-1.223	-1.562	Transitional endoplasmic reticulum ATPase
g4490	roughly_flat	-1.599	-3.357	-2.668	Sodium-dependent phosphate transport protein 2B
g7870	late_responder	-2.088	-2.733	-3.827	NA
g8466	roughly_flat	1.675	3.737	3.387	Heme oxygenase 1
g6952	roughly_flat	-1.771	-1.336	-1.868	Dehydration-responsive element-binding protein 2G
g8048	roughly_flat	-1.873	-1.704	-2.549	Myosin-6
g9021	roughly_flat	2.970	3.108	1.850	Dihydroxy-acid dehydratase
g1439	early_responder	1.253	1.116	1.283	Low affinity inorganic phosphate transporter 5
g10808	transient_peak_44h	2.242	4.400	3.298	Propanediol uptake facilitator PduF
g15914	roughly_flat	1.215	2.098	1.670	Arginase
g642	roughly_flat	-1.450	-2.083	-2.106	MOB kinase activator-like 1 homolog B
g5434	late_responder	3.109	2.863	4.750	Porphobilinogen deaminase
g2273	late_responder	-1.319	-1.874	-2.621	Ammonium transporter 1 member 3
g7777	early_responder	-1.579	-1.455	-1.694	NA
g9324	roughly_flat	-1.263	-1.276	-1.180	Arginine kinase Oct f 2
g8236	roughly_flat	-1.180	-1.300	-1.507	Triacylglycerol lipase SDP1
g5459	early_responder	5.565	4.200	3.783	Magnetosome protein MamZ
g6374	early_responder	4.875	3.147	3.890	Ferric reduction oxidase 7, chloroplastic
g8148	roughly_flat	-1.143	-1.177	-1.398	Cytochrome P450 710A3
g1875	late_responder	1.934	3.683	5.326	NA
g13924	early_responder	-1.447	-1.266	-1.559	NA
g2270	late_responder	-1.172	-1.764	-2.229	Ammonium transporter 1 member 3
g2420	roughly_flat	-1.690	-2.003	-2.059	Calcium-regulated actin-bundling protein
g2793	roughly_flat	1.190	1.515	1.252	NA
g7117	roughly_flat	1.853	1.956	1.112	NA
g526	transient_peak_44h	1.771	3.355	2.364	Apoptosis-inducing factor homolog B
g14479	roughly_flat	-1.938	-2.463	-2.730	NA
g5246	roughly_flat	-2.067	-3.439	-2.872	Drebrin
g6304	late_responder	-1.551	-2.571	-2.799	NA
g286	late_responder	-1.161	-3.079	-3.626	NA
g15722	transient_peak_44h	2.028	3.095	1.343	NA
g8862	roughly_flat	-1.689	-1.616	-2.430	Sphingomyelinase C
g15150	late_responder	-0.997	-1.436	-1.696	NA
g8894	roughly_flat	1.610	1.677	1.021	NA
g6015	late_responder	1.388	1.168	2.106	Collagen alpha-2(VI) chain
g8160	roughly_flat	-1.274	-1.347	-1.389	Cyclin-Y
g1853	roughly_flat	-4.226	-4.385	-4.080	NA
g7883	roughly_flat	-1.109	-1.340	-1.375	Homoserine kinase
g12109	roughly_flat	-2.228	-2.237	-1.531	NA
g8293	early_responder	-2.024	-1.832	-1.624	Glycerophosphocholine acyltransferase 1
g2740	roughly_flat	-1.184	-1.472	-1.538	NA
g6238	roughly_flat	-2.435	-3.313	-3.420	NA
g12030	early_responder	-1.901	-1.766	-1.926	GDT1-like protein 5
g126	late_responder	-1.094	-1.531	-2.011	NA
g2570	late_responder	1.166	3.111	3.541	NA
g8100	roughly_flat	-1.195	-1.218	-1.460	Organellar oligopeptidase A, chloroplastic/mitochondrial
g8047	roughly_flat	-1.865	-0.987	-1.583	D-3-phosphoglycerate dehydrogenase
g7795	roughly_flat	-1.131	-1.166	-1.332	Casein kinase II subunit alpha-2
g8023	roughly_flat	-1.178	-1.644	-1.668	Twinfilin
g7793	early_responder	-1.364	-1.241	-1.024	Alcohol dehydrogenase class-3
g11076	transient_peak_44h	1.637	2.686	1.349	SEC14-like protein 5
g8072	early_responder	-1.670	-1.544	-1.850	Myosin-I heavy chain
g12159	late_responder	-1.400	-1.352	-2.124	NA
g349	early_responder	5.383	4.032	5.040	NA
g12053	roughly_flat	-1.076	-1.236	-1.129	Epsin
g12321	transient_peak_44h	1.171	3.788	2.789	NA
g12173	late_responder	-1.722	-2.493	-3.836	NA
g14190	roughly_flat	1.105	1.162	1.355	NA
g11298	late_responder	-1.251	-2.019	-2.285	Actin-binding Rho-activating protein
g7044	roughly_flat	1.272	0.932	1.532	Purple acid phosphatase 18
g10392	late_responder	-1.255	-3.545	-4.265	Dynamin-related protein 4C
g7939	roughly_flat	-1.224	-1.406	-1.686	Exosome RNA helicase MTR4
g701	roughly_flat	1.606	1.872	1.113	Hybrid signal transduction histidine kinase K
g12057	roughly_flat	-1.666	-2.157	-1.474	NA
g2939	roughly_flat	-3.089	-3.260	-2.676	NA
g15547	late_responder	-1.109	-1.941	-2.479	High molecular weight form of myosin-1
g3138	early_responder	-4.415	-2.784	-3.193	NA
g12120	late_responder	-1.170	-1.754	-1.915	Prostaglandin E synthase 2
g1204	late_responder	-1.098	-1.791	-2.470	High molecular weight form of myosin-1
g10712	roughly_flat	0.959	3.546	3.392	Chaperone protein ClpB
g991	early_responder	3.291	1.959	2.161	NA
g2222	early_responder	-1.604	-1.508	-1.577	Trypsin
g8010	late_responder	-1.250	-1.642	-2.343	NA
g10539	roughly_flat	-1.311	-1.345	-1.408	NA
g15068	late_responder	-1.170	-2.558	-3.287	Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical]
g12935	roughly_flat	-2.171	-1.443	-2.271	NA
g2845	roughly_flat	0.871	1.308	1.190	NA
g7845	late_responder	-1.497	-1.397	-2.604	NA
g14630	late_responder	-1.181	-2.220	-3.056	NA
g8226	roughly_flat	-1.022	-1.416	-1.239	Putative 26S proteasome complex subunit sem-1
g1742	transient_peak_44h	1.299	4.294	2.905	Hydroxymethylglutaryl-CoA lyase, mitochondrial
g14754	early_responder	-1.463	-1.131	-1.155	Pollen-specific protein SF3
g8917	early_responder	-1.139	-0.902	-1.016	NA
g1778	early_responder	2.574	2.201	1.455	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating
g4408	late_responder	1.064	2.310	3.127	Aqualysin-1
g3596	late_responder	-1.182	-2.025	-2.911	NA
g9652	roughly_flat	-1.407	-1.176	-1.759	Atrial natriuretic peptide-converting enzyme
g6156	roughly_flat	-1.954	-1.895	-2.408	Cyclin-U2-2
g2759	late_responder	-1.517	-1.432	-2.320	Protease Do-like 7
g13789	transient_peak_44h	1.456	4.808	3.669	NA
g12954	roughly_flat	-0.910	-1.679	-1.427	Superoxide oxidase CybB
g7801	early_responder	-1.463	-1.273	-0.840	Calcium-transporting ATPase 1
g4946	transient_peak_44h	1.537	2.353	1.632	N-acetylgalactosamine-6-O-sulfatase
g8710	roughly_flat	-1.159	-1.709	-1.573	Uncharacterized J domain-containing protein C4H3.01
g1958	roughly_flat	1.811	1.370	2.243	NA
g10799	roughly_flat	1.058	2.264	2.075	Glycerol uptake facilitator protein
g7926	roughly_flat	-1.812	-1.285	-2.702	Myosin-K heavy chain
g7830	early_responder	-1.553	-1.355	-1.629	Acyl-CoA dehydrogenase apdG
g7949	late_responder	-1.463	-1.623	-2.452	Myosin-J heavy chain
g14240	late_responder	-1.708	-2.110	-3.616	NA
g11628	transient_peak_44h	1.047	2.427	1.596	NA
g9405	early_responder	-1.718	-1.530	-1.375	NA
g7975	late_responder	-2.335	-3.668	-3.919	Poly [ADP-ribose] polymerase 1
g12832	roughly_flat	0.863	1.086	1.041	NA
g8157	early_responder	-1.191	-0.910	-1.080	NA
