gene	log2FC	padj	neg_log10_padj	significant	protein
g4043	4.6505	4.414206e-89	88.355	yes	DnaJ homolog subfamily B member 5
g4042	4.6170	9.739126e-79	78.011	yes	Chaperone protein ClpB1
g8328	-3.4658	4.053539e-37	36.392	yes	Zinc metalloproteinase nas-15
g12035	-2.7463	9.095696e-37	36.041	yes	Neural-cadherin
g6378	3.4839	3.554911e-33	32.449	yes	Ferric reduction oxidase 7, chloroplastic
g8131	-2.5892	1.420170e-30	29.848	yes	Trypsin I-P1
g342	6.0275	1.466136e-28	27.834	yes	NA
g8955	2.0117	8.156015e-27	26.089	yes	NA
g6018	-2.5118	2.104597e-25	24.677	yes	Matrilin-3
g6003	-3.4021	2.416864e-25	24.617	yes	AAA-ATPase At4g25835
g4485	-2.9491	3.451698e-24	23.462	yes	Sodium-dependent phosphate transport protein 2B
g522	2.3426	1.710400e-23	22.767	yes	Apoptosis-inducing factor homolog A
g6004	-2.8545	5.937973e-22	21.226	yes	Putative AAA family ATPase L572
g15559	3.1293	2.867649e-20	19.542	yes	NA
g2569	3.4670	5.767225e-20	19.239	yes	NA
g1305	-1.9212	7.501090e-20	19.125	yes	Actin
g13536	3.3591	1.619686e-18	17.791	yes	Cyclin-dependent kinase F-3
g12119	-2.5157	4.433545e-18	17.353	yes	Serine/threonine-protein phosphatase 2B catalytic subunit
g912	-2.2690	1.010378e-17	16.996	yes	NA
g13866	3.6878	2.256340e-17	16.647	yes	Ultraviolet-B receptor UVR8
g6725	-2.8154	3.014731e-17	16.521	yes	NA
g9086	2.7831	9.709337e-17	16.013	yes	Transcriptional activator Myb
g8049	-2.6832	1.295398e-16	15.888	yes	Protein mono-ADP-ribosyltransferase PARP3
g11028	3.9912	3.143228e-16	15.503	yes	NA
g1855	-4.1984	3.176276e-16	15.498	yes	NA
g1416	3.8917	4.004524e-16	15.397	yes	NA
g8732	2.9382	5.030355e-16	15.298	yes	Capreomycidine synthase
g13759	-2.0260	5.351914e-16	15.271	yes	Severin
g7882	-2.2297	2.542933e-15	14.595	yes	Sodium/potassium/calcium exchanger 5
g4607	3.3669	5.740080e-15	14.241	yes	NA
g14307	-2.7100	6.262595e-15	14.203	yes	NA
g15357	1.5373	1.380143e-14	13.860	yes	Polyketide synthase Pks13
g15324	1.7934	1.530188e-14	13.815	yes	High affinity iron permease ftrA
g3582	2.2985	5.220915e-14	13.282	yes	NA
g5286	-3.0958	5.863798e-14	13.232	yes	NA
g12261	-1.9475	7.368497e-14	13.133	yes	MOB kinase activator-like 1A
g7860	-2.5857	8.240258e-14	13.084	yes	Sodium/potassium/calcium exchanger 1
g4487	-2.9913	1.438143e-13	12.842	yes	Sodium-dependent phosphate transport protein 2B
g7969	-1.6997	4.784375e-13	12.320	yes	NA
g4649	-2.9793	9.395840e-13	12.027	yes	NA
g3578	2.4692	1.483671e-12	11.829	yes	NA
g13513	-2.7399	2.293972e-12	11.639	yes	NA
g11796	3.1279	2.604771e-12	11.584	yes	Stromal membrane-associated protein 2
g11443	-1.8962	2.665884e-12	11.574	yes	MOB kinase activator-like 1A
g4758	-2.4980	3.031152e-12	11.518	yes	Gamma-aminobutyric acid type B receptor subunit 2
g8059	-2.2506	3.031152e-12	11.518	yes	NA
g11596	-2.3046	3.161481e-12	11.500	yes	NA
g12075	-1.8582	8.626981e-12	11.064	yes	NA
g12367	-2.5790	2.312361e-11	10.636	yes	NA
g7516	1.4360	3.563556e-11	10.448	yes	LAS seventeen-binding protein 3
g9082	2.2402	4.368422e-11	10.360	yes	Histidinol dehydrogenase
g1856	-2.6829	4.443235e-11	10.352	yes	NA
g7826	-1.5590	7.097148e-11	10.149	yes	Nascent polypeptide-associated complex subunit alpha-like protein
g14188	1.8949	7.633150e-11	10.117	yes	NA
g12071	-1.3773	8.538820e-11	10.069	yes	Transitional endoplasmic reticulum ATPase
g4490	-2.5358	1.019302e-10	9.992	yes	Sodium-dependent phosphate transport protein 2B
g7870	-2.8154	1.047527e-10	9.980	yes	NA
g8466	2.9584	1.260241e-10	9.900	yes	Heme oxygenase 1
g6952	-1.6584	1.534924e-10	9.814	yes	Dehydration-responsive element-binding protein 2G
g8048	-2.0382	1.619069e-10	9.791	yes	Myosin-6
g9021	2.7159	1.679757e-10	9.775	yes	Dihydroxy-acid dehydratase
g1439	1.2172	3.831051e-10	9.417	yes	Low affinity inorganic phosphate transporter 5
g10808	3.4504	4.173123e-10	9.380	yes	Propanediol uptake facilitator PduF
g15914	1.6634	7.604729e-10	9.119	yes	Arginase
g642	-1.8805	9.290519e-10	9.032	yes	MOB kinase activator-like 1 homolog B
g5434	3.6282	9.722921e-10	9.012	yes	Porphobilinogen deaminase
g2273	-1.9315	1.643017e-09	8.784	yes	Ammonium transporter 1 member 3
g7777	-1.5797	2.111489e-09	8.675	yes	NA
g9324	-1.2404	2.242520e-09	8.649	yes	Arginine kinase Oct f 2
g8236	-1.3313	2.657318e-09	8.576	yes	Triacylglycerol lipase SDP1
g5459	5.9839	2.657318e-09	8.576	yes	Magnetosome protein MamZ
g6374	4.4672	2.797794e-09	8.553	yes	Ferric reduction oxidase 7, chloroplastic
g8148	-1.2396	3.062608e-09	8.514	yes	Cytochrome P450 710A3
g1875	3.6299	4.212608e-09	8.375	yes	NA
g13924	-1.4234	4.347785e-09	8.362	yes	NA
g2270	-1.7163	6.914474e-09	8.160	yes	Ammonium transporter 1 member 3
g2420	-1.9260	7.620684e-09	8.118	yes	Calcium-regulated actin-bundling protein
g2793	1.3205	9.731361e-09	8.012	yes	NA
