gene	mean_expr	CV	log2FC	padj	description
g827	39567.5	0.0915	0.038	0.9689	sp|Q9SU58|PMA4_ARATH ATPase 4, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=AHA4 PE=2 SV=2
g14235	32221.8	0.1590	0.324	0.4447	sp|Q9DEX3|CATD_CLUHA Cathepsin D OS=Clupea harengus OX=7950 GN=ctsd PE=1 SV=1
g5520	34636.1	0.2059	0.549	0.0713	sp|Q06572|AVP_HORVU Pyrophosphate-energized vacuolar membrane proton pump OS=Hordeum vulgare OX=4513 PE=2 SV=2
g11097	27401.4	0.2000	-0.218	0.7173	sp|O18875|SC6A8_BOVIN Sodium- and chloride-dependent creatine transporter 1 OS=Bos taurus OX=9913 GN=SLC6A8 PE=2 SV=1
g2206	29660.5	0.2654	0.097	0.9299	sp|P31692|ADT_PARKE ADP/ATP translocase OS=Parachlorella kessleri OX=3074 PE=3 SV=1
g9463	22918.7	0.1685	0.373	0.3803	sp|O65039|CYSEP_RICCO Vignain OS=Ricinus communis OX=3988 GN=CYSEP PE=1 SV=1
g5694	26926.0	0.2761	0.125	0.8890	sp|M1BJF6|JOKA2_SOLTU Protein JOKA2 OS=Solanum tuberosum OX=4113 GN=JOKA2 PE=1 SV=1
g9189	51994.1	0.8507	0.403	0.1688	sp|A0A1B3PEI6|PFA1_THRS2 Polyunsaturated fatty acid synthase subunit A OS=Thraustochytrium sp. (strain ATCC 26185 / S-3) OX=672127 GN=ORF-A PE=1 SV=1
g14162	20032.8	0.1410	-0.295	0.5467	sp|Q9FVN0|AMT13_SOLLC Ammonium transporter 1 member 3 OS=Solanum lycopersicum OX=4081 GN=AMT1-3 PE=2 SV=1
g15361	32481.5	0.5251	-0.168	0.7397	
g227	18407.7	0.1596	-0.012	0.9899	sp|P29691|EF2_CAEEL Elongation factor 2 OS=Caenorhabditis elegans OX=6239 GN=eef-2 PE=1 SV=4
g10543	22708.3	0.3000	0.032	0.9785	sp|Q5ZLC5|ATPB_CHICK ATP synthase F(1) complex catalytic subunit beta, mitochondrial OS=Gallus gallus OX=9031 GN=ATP5F1B PE=1 SV=1
g12706	21646.5	0.3060	0.244	0.5613	
g2560	17886.0	0.1960	0.393	0.4122	sp|P09102|PDIA1_CHICK Protein disulfide-isomerase OS=Gallus gallus OX=9031 GN=P4HB PE=1 SV=3
g2121	12443.1	0.0774	-0.052	0.9577	
g3838	21749.7	0.4227	0.539	0.3470	sp|P41753|HSP70_ACHKL Heat shock 70 kDa protein OS=Achlya klebsiana OX=4767 GN=HSP70 PE=2 SV=1
g14828	19106.0	0.3435	-0.228	0.5514	sp|P36683|ACNB_ECOLI Aconitate hydratase B OS=Escherichia coli (strain K12) OX=83333 GN=acnB PE=1 SV=3
g11466	11763.5	0.1195	0.288	0.4758	sp|Q9C5N2|TMN9_ARATH Transmembrane 9 superfamily member 9 OS=Arabidopsis thaliana OX=3702 GN=TMN9 PE=2 SV=1
g11084	16585.8	0.3527	-0.086	0.9103	
g4105	19774.6	0.4921	0.530	0.3589	sp|A0A139AVY4|EF3_GONPJ Elongation factor 3 OS=Gonapodya prolifera (strain JEL478) OX=1344416 GN=TEF3 PE=3 SV=1
g2766	12670.3	0.2076	-0.074	0.9289	sp|P23641|MPCP_YEAST Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIR1 PE=1 SV=1
g10868	12671.7	0.2246	-0.398	0.2273	sp|Q0DG35|GLT2_ORYSJ Glutamate synthase 2 [NADH], chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0555600 PE=2 SV=2
g13210	19359.7	0.5196	0.479	0.2172	
g6673	18505.1	0.4878	0.405	0.2384	
g979	15120.9	0.3713	-0.140	0.9112	sp|A0A0D1DNX1|FAS2_MYCMD Fatty acid synthase 2 OS=Mycosarcoma maydis OX=5270 GN=fas2 PE=2 SV=1
g2861	9621.3	0.1296	0.258	0.6229	sp|Q29380|VDAC3_PIG Non-selective voltage-gated ion channel VDAC3 OS=Sus scrofa OX=9823 GN=VDAC3 PE=2 SV=2
g9251	11158.3	0.2262	0.201	0.7105	
g14921	17670.5	0.5577	-0.118	0.9056	sp|Q8I8I2|ALF1_TOXGO Fructose-bisphosphate aldolase 1 OS=Toxoplasma gondii OX=5811 GN=ald-1 PE=1 SV=1
g9828	11448.9	0.2585	-0.078	0.9349	sp|A5V3X3|ATPA_RHIWR ATP synthase subunit alpha OS=Rhizorhabdus wittichii (strain DSM 6014 / CCUG 31198 / JCM 15750 / NBRC 105917 / EY 4224 / RW1) OX=392499 GN=atpA PE=3 SV=1
g2873	7973.1	0.0820	0.181	0.7173	
g9208	9842.8	0.1801	-0.044	0.9609	sp|Q86HQ2|ABCG8_DICDI ABC transporter G family member 8 OS=Dictyostelium discoideum OX=44689 GN=abcG8 PE=3 SV=1
g6093	12811.5	0.3513	0.231	0.8278	sp|Q9WUU7|CATZ_MOUSE Cathepsin Z OS=Mus musculus OX=10090 GN=Ctsz PE=1 SV=1
g14634	23407.4	1.0155	-0.509	0.5999	
g5006	12320.4	0.3773	0.255	0.7344	sp|O03986|HS904_ARATH Heat shock protein 90-4 OS=Arabidopsis thaliana OX=3702 GN=HSP90-4 PE=1 SV=1
g15830	10583.6	0.3033	0.323	0.5130	sp|Q8T9W4|ABCB3_DICDI ABC transporter B family member 3 OS=Dictyostelium discoideum OX=44689 GN=abcB3 PE=3 SV=1
g10972	6807.8	0.0840	0.171	0.7588	sp|Q9R0J8|LGMN_RAT Legumain OS=Rattus norvegicus OX=10116 GN=Lgmn PE=1 SV=1
g3160	10366.3	0.3186	0.315	0.6266	
g1020	6456.6	0.0771	-0.104	0.8809	sp|P21569|CYPH_MAIZE Peptidyl-prolyl cis-trans isomerase OS=Zea mays OX=4577 GN=CYP PE=2 SV=1
g5810	12560.0	0.4781	0.226	0.6986	sp|P11497|ACACA_RAT Acetyl-CoA carboxylase 1 OS=Rattus norvegicus OX=10116 GN=Acaca PE=1 SV=1
g13803	7444.3	0.1544	-0.218	0.7663	sp|Q9BDJ3|THIO_CALJA Thioredoxin OS=Callithrix jacchus OX=9483 GN=TXN PE=3 SV=3
g7520	7405.9	0.1601	0.114	0.9210	
g2683	7693.5	0.1894	-0.208	0.6313	
g11446	6748.5	0.1322	-0.325	0.4096	sp|O35547|ACSL4_RAT Long-chain-fatty-acid--CoA ligase 4 OS=Rattus norvegicus OX=10116 GN=Acsl4 PE=1 SV=2
g8700	11322.5	0.4605	-0.122	0.9076	sp|Q66IV1|MYRF_XENLA Myelin regulatory factor OS=Xenopus laevis OX=8355 GN=myrf PE=2 SV=1
g919	13854.7	0.6760	0.343	0.3674	sp|Q7XRV2|YSL6_ORYSJ Probable metal-nicotianamine transporter YSL6 OS=Oryza sativa subsp. japonica OX=39947 GN=YSL6 PE=2 SV=1
g12521	7687.0	0.2289	-0.035	0.9689	
g6630	8315.6	0.2830	0.216	0.8216	sp|Q7Z0T3|TEMPT_APLCA Temptin OS=Aplysia californica OX=6500 PE=1 SV=1
g10324	6849.1	0.1805	-0.174	0.7510	sp|A6UQL8|BIOD_METVS ATP-dependent dethiobiotin synthetase BioD OS=Methanococcus vannielii (strain ATCC 35089 / DSM 1224 / JCM 13029 / OCM 148 / SB) OX=406327 GN=bioD PE=3 SV=1
g10511	5887.6	0.1114	0.119	0.8703	sp|Q8GY23|UPL1_ARATH E3 ubiquitin-protein ligase UPL1 OS=Arabidopsis thaliana OX=3702 GN=UPL1 PE=1 SV=3
g13341	7856.2	0.2632	-0.354	0.2773	sp|O82663|SDHA1_ARATH Succinate dehydrogenase [ubiquinone] flavoprotein subunit 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SDH1-1 PE=1 SV=1
g7840	8052.4	0.2803	-0.491	0.1360	sp|Q3ZCJ2|AK1A1_BOVIN Aldo-keto reductase family 1 member A1 OS=Bos taurus OX=9913 GN=AKR1A1 PE=1 SV=1
g10478	7471.2	0.2386	-0.097	0.9486	
g11561	7152.6	0.2147	0.418	0.3396	sp|Q9FWQ5|HAC12_ARATH Histone acetyltransferase HAC12 OS=Arabidopsis thaliana OX=3702 GN=HAC12 PE=3 SV=2
g2102	6269.9	0.1641	-0.108	0.8883	
g15046	6719.2	0.2024	0.236	0.6003	sp|Q9CNJ4|PSTS_PASMU Phosphate-binding protein PstS OS=Pasteurella multocida (strain Pm70) OX=272843 GN=pstS PE=3 SV=2
g9692	5827.6	0.1318	-0.252	0.5957	
