gene	scaf	strand	n_exons	n_introns	utr5_start	utr5_end	utr5_len	utr3_start	utr3_end	utr3_len	n_utr5_introns	first_intron_start	first_intron_end
g827	Scaffolds_1	+	4	3			0	1336823	1337105	283	0	1331650	1332484
g14235	Scaffolds_4	-	1	0	2423537	2423776	240			0	0		
g5520	Scaffolds_19	+	1	0			0	718411	718560	150	0		
g11097	Scaffolds_29	-	1	0			0			0	0		
g2206	Scaffolds_14	-	1	0	483589	483631	43			0	0		
g9463	Scaffolds_25	+	1	0			0	511059	511697	639	0		
g5694	Scaffolds_19	-	1	0	1291375	1292506	1132			0	0		
g9189	Scaffolds_24	-	1	0	1354068	1354680	613			0	0		
g14162	Scaffolds_4	+	1	0			0			0	0		
g15361	Scaffolds_7	-	1	0	594578	594672	95			0	0		
g227	Scaffolds_0	+	1	0			0	933562	933632	71	0		
g10543	Scaffolds_28	+	8	7			0	793141	793225	85	0	786377	786504
g12706	Scaffolds_32	-	1	0	589186	589221	36			0	0		
g2560	Scaffolds_14	-	3	2			0			0	0	1716709	1717275
g2121	Scaffolds_14	-	1	0			0			0	0		
g3838	Scaffolds_17	+	1	0			0			0	0		
g14828	Scaffolds_5	-	3	2	975927	976023	97			0	0	975128	975183
g11466	Scaffolds_3	+	1	0			0			0	0		
g11084	Scaffolds_29	+	4	3			0	1843151	1843850	700	0	1842001	1842202
g4105	Scaffolds_17	-	1	0			0			0	0		
g2766	Scaffolds_15	+	4	3			0	628786	628972	187	0	626950	627334
g10868	Scaffolds_29	+	3	2			0	1033804	1033925	122	0	1024893	1026796
g13210	Scaffolds_33	-	1	0			0			0	0		
g6673	Scaffolds_20	-	1	0	874858	874958	101			0	0		
g979	Scaffolds_10	+	1	0			0			0	0		
g2861	Scaffolds_15	+	1	0			0	1036050	1036137	88	0		
g9251	Scaffolds_24	+	2	1			0	1589482	1591474	1993	0	1588344	1588389
g14921	Scaffolds_5	-	2	1			0			0	0	1322105	1323759
g9828	Scaffolds_26	+	1	0			0	386820	386960	141	0		
g2873	Scaffolds_15	+	3	2			0	1103614	1104113	500	0	1100689	1101047
g9208	Scaffolds_24	-	1	0			0			0	0		
g6093	Scaffolds_2	-	3	2	235816	235942	127			0	0	232176	235520
g14634	Scaffolds_5	+	1	0			0			0	0		
g5006	Scaffolds_18	-	1	0	2739376	2739408	33			0	0		
g15830	Scaffolds_9	+	1	0			0			0	0		
g10972	Scaffolds_29	+	1	0			0			0	0		
g3160	Scaffolds_15	+	1	0			0			0	0		
g1020	Scaffolds_10	-	1	0	731448	731483	36			0	0		
g5810	Scaffolds_19	+	4	3			0	1718230	1718387	158	0	1710002	1710102
g13803	Scaffolds_4	-	2	1	833164	833473	310			0	0	819766	819807
g7520	Scaffolds_21	-	1	0	1816275	1817550	1276			0	0		
g2683	Scaffolds_15	+	1	0			0			0	0		
