query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g2.t1	51337.XP_004662021.1	8.74e-24	109.0	COG5640@1|root,KOG3627@2759|Eukaryota,39ZFT@33154|Opisthokonta,3BKWW@33208|Metazoa,3D4TJ@33213|Bilateria,48979@7711|Chordata,493X4@7742|Vertebrata,3J5MV@40674|Mammalia,35KDT@314146|Euarchontoglires,4Q4SE@9989|Rodentia	33208|Metazoa	E	Trypsin-like serine protease	PRSS44	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	-	-	-	-	-	-	-	-	-	Trypsin
g3.t1	72019.SARC_03105T0	8.56e-57	207.0	COG1808@1|root,2QWS6@2759|Eukaryota,39RZA@33154|Opisthokonta	33154|Opisthokonta	S	Domain of unknown function (DUF389)	-	GO:0007275,GO:0007399,GO:0008150,GO:0009987,GO:0022008,GO:0030154,GO:0032501,GO:0032502,GO:0048731,GO:0048856,GO:0048869	-	-	-	-	-	-	-	-	-	-	DUF389
g4.t1	42099.EPrPV00000015277	1.53e-31	138.0	COG5391@1|root,KOG2273@2759|Eukaryota,1MCH7@121069|Pythiales	121069|Pythiales	U	Source PGD	-	-	-	-	-	-	-	-	-	-	-	-	PX,Vps5
g5.t1	4792.ETI53499	5.68e-05	57.0	KOG3599@1|root,KOG3599@2759|Eukaryota,3QBPD@4776|Peronosporales	4776|Peronosporales	PT	Polycystin cation channel	-	-	-	-	-	-	-	-	-	-	-	-	PKD_channel
g6.t1	65393.PCC7424_4751	2.51e-20	99.8	COG0823@1|root,COG0823@2|Bacteria,1G6E9@1117|Cyanobacteria	1117|Cyanobacteria	MU	PA14 domain	-	-	-	-	-	-	-	-	-	-	-	-	PA14
g7.t1	1236976.JCM16418_1530	2.31e-163	481.0	COG0493@1|root,COG0493@2|Bacteria,1TQ1A@1239|Firmicutes,4HAD5@91061|Bacilli,26TNB@186822|Paenibacillaceae	91061|Bacilli	E	Glutamate synthase	gltD	-	1.4.1.13,1.4.1.14	ko:K00266	ko00250,ko00910,ko01100,ko01110,ko01120,ko01130,ko01230,map00250,map00910,map01100,map01110,map01120,map01130,map01230	-	R00093,R00114,R00248	RC00006,RC00010,RC02799	ko00000,ko00001,ko01000	-	-	iSB619.SA_RS02450	Fer4_20,Pyr_redox_2
g9.t1	112098.XP_008617255.1	0.0	1519.0	COG0069@1|root,KOG0399@2759|Eukaryota	2759|Eukaryota	E	L-glutamate biosynthetic process	GLT1	GO:0001505,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006541,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009719,GO:0009725,GO:0009735,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0015930,GO:0016040,GO:0016053,GO:0016491,GO:0016638,GO:0016639,GO:0017144,GO:0019676,GO:0019740,GO:0019752,GO:0030447,GO:0032502,GO:0036267,GO:0040007,GO:0042133,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0043650,GO:0044182,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0045181,GO:0046394,GO:0046686,GO:0048589,GO:0050896,GO:0055114,GO:0060359,GO:0065007,GO:0065008,GO:0070783,GO:0071704,GO:0097054,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901698	1.4.1.13,1.4.1.14	ko:K00264,ko:K17792	ko00250,ko00910,ko01100,ko01110,ko01120,ko01130,ko01230,map00250,map00910,map01100,map01110,map01120,map01130,map01230	-	R00093,R00114,R00248	RC00006,RC00010,RC02799	ko00000,ko00001,ko01000,ko02000,ko03029	3.A.8.1	-	-	Fer4_20,GATase_2,GXGXG,Glu_syn_central,Glu_synthase,Pyr_redox_2
g10.t1	227086.JGI_V11_52930	2.1e-07	60.1	COG0666@1|root,KOG0195@2759|Eukaryota	2759|Eukaryota	G	integrin-mediated signaling pathway	-	-	-	-	-	-	-	-	-	-	-	-	Ank,Ank_2,Ank_4,Ank_5,COR,DUF3447,LRR_6,Roc
g15.t1	109760.SPPG_01399T0	5.68e-14	84.0	2CMJD@1|root,2QQIE@2759|Eukaryota,392QS@33154|Opisthokonta,3NV1N@4751|Fungi	4751|Fungi	S	to HYPOTHETICAL	-	-	-	-	-	-	-	-	-	-	-	-	DUF4246
g17.t1	9940.ENSOARP00000013320	7.88e-42	141.0	COG2036@1|root,KOG1745@2759|Eukaryota,39ZTV@33154|Opisthokonta,3BPDH@33208|Metazoa,3D6BK@33213|Bilateria,48E1W@7711|Chordata,49B7M@7742|Vertebrata,3JGKY@40674|Mammalia,4J5AZ@91561|Cetartiodactyla	33208|Metazoa	B	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling	H3F3C	GO:0000785,GO:0000786,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006323,GO:0006325,GO:0006333,GO:0006334,GO:0006996,GO:0008150,GO:0009987,GO:0016043,GO:0022607,GO:0031490,GO:0031491,GO:0031492,GO:0031497,GO:0032991,GO:0032993,GO:0034622,GO:0034728,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0044815,GO:0044877,GO:0051276,GO:0065003,GO:0065004,GO:0071103,GO:0071824,GO:0071840,GO:0097159,GO:1901363	-	ko:K11253	ko05034,ko05202,ko05322,map05034,map05202,map05322	-	-	-	ko00000,ko00001,ko03036,ko04147	-	-	-	Histone
